No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	4	10nF	C1,C5,C9,C14	C0402	10nF	CL05B103KB5NNNC	SAMSUNG(三星)	C15195	LCSC
2	6	47uF	C2,C4,C6,C8,C10,C12	C0805	47uF	CL21A476MQYNNNE	SAMSUNG(三星)	C16780	LCSC
3	3	100nF	C3,C7,C11	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
4	1	68uF	C13	CAP-SMD_L6.0-W3.2-R-RD	68uF	TAJC686K016RNJ	Kyocera AVX	C7220	LCSC
5	1	100uF	C15	CAP-SMD_BD8.0-L8.3-W8.3-FD	100uF	UUD1H101MNL1GS	Nichicon(尼吉康)	C116241	LCSC
6	2	B5819W SL	D1,D2	SOD-123_L2.7-W1.6-LS3.7-RD-1		B5819W SL	CJ(江苏长电/长晶)	C8598	LCSC
7	1	DC050-T	DC1	DC-IN_DC050-T		DC050-T	SHOU HAN(首韩)	C431534	LCSC
8	1	47uH	L1	L0805	47uH	CMI201212J470KT	FH(风华)	C105499	LCSC
9	16	FM-3510RGBA-SG	LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16	LED-SMD_FM-3510RGBA-SG		FM-3510RGBA-SG	国星光电	C727903	LCSC
10	3	10kΩ	R1,R2,R3	RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR	10kΩ	TC33X-2-103E	BOURNS	C719176	LCSC
11	2	100Ω	R6,R7	RES-ADJ-SMD_TC33X-2-104E	100Ω	TC33X-2-101E	BOURNS	C911390	LCSC
12	2	220Ω	RN1,RN2	RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL	220Ω	4D02WGJ0221TCE	UNI-ROYAL(厚声)	C25498	LCSC
13	3	100Ω	RN3,RN6,RN7	RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL	100Ω	4D02WGJ0101TCE	UNI-ROYAL(厚声)	C48442	LCSC
14	2	150Ω	RN4,RN5	RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL	150Ω	RTA02-4D151JTH	RALEC(旺诠)	C332209	LCSC
15	3	74HC164D	U1,U3,U5	SOP-14_L8.6-W3.9-P1.27-LS6.0-BL		74HC164D	FM(富满)	C86610	LCSC
16	3	TLC555DRG	U2,U4,U6	SOP-8_L5.0-W3.9-P1.27-LS6.0-BL		TLC555DRG	HGC(深圳汉芯)	C5145349	LCSC
17	1	RS3G14XM	U7	MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL		RS3G14XM	RUNIC(润石)	C5372562	LCSC
18	1	LM2675M-3.3(UMW)	U8	SOIC-8_L4.9-W3.8-P1.27-LS6.0-BL		LM2675M-3.3(UMW)	UMW(友台半导体)	C5563863	LCSC
